comparison,column,source_artifact,candidate_artifact,source_present,candidate_present,classification,source_dtype,candidate_dtype,changed_row_count,unchanged_row_count,source_missing_count,candidate_missing_count,max_absolute_numeric_difference,sum_numeric_delta,first_changed_timestamp,last_changed_timestamp
historical_canonical_to_candidate,timestamp_raw_end,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,datetime64[us],datetime64[us],0,8760,0,0,,,,
historical_canonical_to_candidate,timestamp_start,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,datetime64[us],datetime64[us],0,8760,0,0,,,,
historical_canonical_to_candidate,timestamp,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,datetime64[us],datetime64[us],0,8760,0,0,,,,
historical_canonical_to_candidate,time_index,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,int64,int64,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,year,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,int32,int32,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,month,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,int32,int32,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,day,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,int32,int32,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,date,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,datetime64[us],datetime64[us],0,8760,0,0,,,,
historical_canonical_to_candidate,hour,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,int32,int32,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,weekday,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,int32,int32,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,weekday_name,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,is_weekend,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,bool,bool,0,8760,0,0,,,,
historical_canonical_to_candidate,is_summer,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,bool,bool,0,8760,0,0,,,,
historical_canonical_to_candidate,season,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,tou_day_type,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,tou_period,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,tou_calendar_source,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,tou_calendar_verified,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,bool,bool,0,8760,0,0,,,,
historical_canonical_to_candidate,billing_usage_period_id,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,usage_period_start,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,datetime64[us],datetime64[us],0,8760,0,0,,,,
historical_canonical_to_candidate,usage_period_end_exclusive,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,datetime64[ns],datetime64[ns],0,8760,0,0,,,,
historical_canonical_to_candidate,integration_status,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,observed_load_kwh,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,float64,float64,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,observed_load_kw,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,float64,float64,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,baseline_load_kwh,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,float64,float64,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,baseline_load_kw,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,float64,float64,0,8760,0,0,0.0,0.0,,
historical_canonical_to_candidate,load_status,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,string,string,0,8760,0,0,,,,
historical_canonical_to_candidate,outage_contaminated_flag,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,bool,bool,0,8760,0,0,,,,
historical_canonical_to_candidate,load_reconstructed,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,bool,bool,0,8760,0,0,,,,
historical_canonical_to_candidate,load_reconstruction_method,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,str,str,0,8760,0,0,,,,
historical_canonical_to_candidate,load_donor_timestamp,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,datetime64[ns],datetime64[ns],0,8760,8750,8750,,,,
historical_canonical_to_candidate,load_donor_week_offset,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,Int64,Int64,0,8760,8750,8750,0.0,0.0,,
historical_canonical_to_candidate,load_donor_context_rmse_kw,data/processed/annual_input_v7_1.parquet,data/processed/annual_input_v7_3_reconstructed_pv_mainline_candidate_r3_2026-09-23.parquet,True,True,unchanged,float64,float64,0,8760,8750,8750,0.0,0.0,,
